embedding_index,image_path,filename,source_image_A_stem,source_image_B_stem,source_idx_A_in_train_bf,source_idx_B_in_train_bf
21,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000679_img496816.png,morphed_img000679_img496816.png,img000679,img496816,43,22347
22,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000836_img054553.png,morphed_img000836_img054553.png,img000836,img054553,52,2422
23,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000836_img099545.png,morphed_img000836_img099545.png,img000836,img099545,52,4403
24,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000836_img282038.png,morphed_img000836_img282038.png,img000836,img282038,52,12655
25,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000836_img496816.png,morphed_img000836_img496816.png,img000836,img496816,52,22347
26,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001448_img054553.png,morphed_img001448_img054553.png,img001448,img054553,75,2422
27,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001448_img099545.png,morphed_img001448_img099545.png,img001448,img099545,75,4403
28,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001448_img337488.png,morphed_img001448_img337488.png,img001448,img337488,75,15168
29,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001448_img496816.png,morphed_img001448_img496816.png,img001448,img496816,75,22347
30,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001522_img054553.png,morphed_img001522_img054553.png,img001522,img054553,78,2422
31,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001522_img282038.png,morphed_img001522_img282038.png,img001522,img282038,78,12655
32,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001522_img496816.png,morphed_img001522_img496816.png,img001522,img496816,78,22347
33,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001584_img054553.png,morphed_img001584_img054553.png,img001584,img054553,81,2422
34,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001584_img099545.png,morphed_img001584_img099545.png,img001584,img099545,81,4403
35,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001584_img282038.png,morphed_img001584_img282038.png,img001584,img282038,81,12655
36,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001584_img337488.png,morphed_img001584_img337488.png,img001584,img337488,81,15168
37,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001584_img496816.png,morphed_img001584_img496816.png,img001584,img496816,81,22347
38,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001598_img054553.png,morphed_img001598_img054553.png,img001598,img054553,82,2422
39,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001598_img282038.png,morphed_img001598_img282038.png,img001598,img282038,82,12655
40,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001598_img337488.png,morphed_img001598_img337488.png,img001598,img337488,82,15168
41,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001621_img099545.png,morphed_img001621_img099545.png,img001621,img099545,83,4403
42,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001621_img337488.png,morphed_img001621_img337488.png,img001621,img337488,83,15168
43,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001636_img282038.png,morphed_img001636_img282038.png,img001636,img282038,84,12655
44,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001636_img337488.png,morphed_img001636_img337488.png,img001636,img337488,84,15168
45,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001636_img496816.png,morphed_img001636_img496816.png,img001636,img496816,84,22347
46,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001972_img054553.png,morphed_img001972_img054553.png,img001972,img054553,97,2422
47,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001972_img099545.png,morphed_img001972_img099545.png,img001972,img099545,97,4403
48,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001972_img282038.png,morphed_img001972_img282038.png,img001972,img282038,97,12655
49,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001972_img337488.png,morphed_img001972_img337488.png,img001972,img337488,97,15168
50,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001972_img496816.png,morphed_img001972_img496816.png,img001972,img496816,97,22347
51,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002164_img054553.png,morphed_img002164_img054553.png,img002164,img054553,111,2422
52,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002164_img099545.png,morphed_img002164_img099545.png,img002164,img099545,111,4403
53,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002164_img282038.png,morphed_img002164_img282038.png,img002164,img282038,111,12655
54,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002164_img496816.png,morphed_img002164_img496816.png,img002164,img496816,111,22347
55,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002266_img054553.png,morphed_img002266_img054553.png,img002266,img054553,119,2422
56,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002266_img099545.png,morphed_img002266_img099545.png,img002266,img099545,119,4403
57,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002266_img282038.png,morphed_img002266_img282038.png,img002266,img282038,119,12655
58,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002266_img337488.png,morphed_img002266_img337488.png,img002266,img337488,119,15168
59,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002266_img496816.png,morphed_img002266_img496816.png,img002266,img496816,119,22347
60,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002514_img282038.png,morphed_img002514_img282038.png,img002514,img282038,125,12655
61,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002514_img337488.png,morphed_img002514_img337488.png,img002514,img337488,125,15168
62,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002514_img496816.png,morphed_img002514_img496816.png,img002514,img496816,125,22347
63,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002650_img099545.png,morphed_img002650_img099545.png,img002650,img099545,132,4403
64,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002650_img282038.png,morphed_img002650_img282038.png,img002650,img282038,132,12655
65,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002650_img337488.png,morphed_img002650_img337488.png,img002650,img337488,132,15168
66,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img002650_img496816.png,morphed_img002650_img496816.png,img002650,img496816,132,22347
67,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003217_img054553.png,morphed_img003217_img054553.png,img003217,img054553,155,2422
68,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003217_img282038.png,morphed_img003217_img282038.png,img003217,img282038,155,12655
69,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003217_img337488.png,morphed_img003217_img337488.png,img003217,img337488,155,15168
70,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003217_img496816.png,morphed_img003217_img496816.png,img003217,img496816,155,22347
71,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003626_img054553.png,morphed_img003626_img054553.png,img003626,img054553,171,2422
72,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003626_img099545.png,morphed_img003626_img099545.png,img003626,img099545,171,4403
73,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003626_img337488.png,morphed_img003626_img337488.png,img003626,img337488,171,15168
74,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003712_img054553.png,morphed_img003712_img054553.png,img003712,img054553,179,2422
75,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003712_img282038.png,morphed_img003712_img282038.png,img003712,img282038,179,12655
76,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003712_img337488.png,morphed_img003712_img337488.png,img003712,img337488,179,15168
77,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003712_img496816.png,morphed_img003712_img496816.png,img003712,img496816,179,22347
78,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003741_img054553.png,morphed_img003741_img054553.png,img003741,img054553,181,2422
79,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003741_img099545.png,morphed_img003741_img099545.png,img003741,img099545,181,4403
80,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003741_img282038.png,morphed_img003741_img282038.png,img003741,img282038,181,12655
81,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003741_img496816.png,morphed_img003741_img496816.png,img003741,img496816,181,22347
82,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003761_img282038.png,morphed_img003761_img282038.png,img003761,img282038,185,12655
83,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003761_img337488.png,morphed_img003761_img337488.png,img003761,img337488,185,15168
84,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003761_img496816.png,morphed_img003761_img496816.png,img003761,img496816,185,22347
85,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003764_img054553.png,morphed_img003764_img054553.png,img003764,img054553,186,2422
86,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003764_img282038.png,morphed_img003764_img282038.png,img003764,img282038,186,12655
87,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003764_img337488.png,morphed_img003764_img337488.png,img003764,img337488,186,15168
88,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003861_img054553.png,morphed_img003861_img054553.png,img003861,img054553,192,2422
89,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003861_img282038.png,morphed_img003861_img282038.png,img003861,img282038,192,12655
90,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003861_img337488.png,morphed_img003861_img337488.png,img003861,img337488,192,15168
91,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003864_img054553.png,morphed_img003864_img054553.png,img003864,img054553,193,2422
92,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003864_img282038.png,morphed_img003864_img282038.png,img003864,img282038,193,12655
93,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003997_img099545.png,morphed_img003997_img099545.png,img003997,img099545,198,4403
94,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003997_img282038.png,morphed_img003997_img282038.png,img003997,img282038,198,12655
95,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003997_img337488.png,morphed_img003997_img337488.png,img003997,img337488,198,15168
96,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003997_img496816.png,morphed_img003997_img496816.png,img003997,img496816,198,22347
97,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004004_img054553.png,morphed_img004004_img054553.png,img004004,img054553,199,2422
98,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004004_img099545.png,morphed_img004004_img099545.png,img004004,img099545,199,4403
99,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004004_img337488.png,morphed_img004004_img337488.png,img004004,img337488,199,15168
100,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004004_img496816.png,morphed_img004004_img496816.png,img004004,img496816,199,22347
101,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004152_img054553.png,morphed_img004152_img054553.png,img004152,img054553,210,2422
102,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004152_img099545.png,morphed_img004152_img099545.png,img004152,img099545,210,4403
103,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004152_img282038.png,morphed_img004152_img282038.png,img004152,img282038,210,12655
104,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004152_img337488.png,morphed_img004152_img337488.png,img004152,img337488,210,15168
105,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004152_img496816.png,morphed_img004152_img496816.png,img004152,img496816,210,22347
106,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004302_img054553.png,morphed_img004302_img054553.png,img004302,img054553,213,2422
107,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004302_img099545.png,morphed_img004302_img099545.png,img004302,img099545,213,4403
108,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004302_img282038.png,morphed_img004302_img282038.png,img004302,img282038,213,12655
109,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004302_img337488.png,morphed_img004302_img337488.png,img004302,img337488,213,15168
110,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004302_img496816.png,morphed_img004302_img496816.png,img004302,img496816,213,22347
111,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004774_img282038.png,morphed_img004774_img282038.png,img004774,img282038,234,12655
112,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004845_img099545.png,morphed_img004845_img099545.png,img004845,img099545,236,4403
113,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004845_img282038.png,morphed_img004845_img282038.png,img004845,img282038,236,12655
114,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004845_img337488.png,morphed_img004845_img337488.png,img004845,img337488,236,15168
115,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004845_img496816.png,morphed_img004845_img496816.png,img004845,img496816,236,22347
116,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004962_img054553.png,morphed_img004962_img054553.png,img004962,img054553,238,2422
117,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004962_img099545.png,morphed_img004962_img099545.png,img004962,img099545,238,4403
118,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004962_img282038.png,morphed_img004962_img282038.png,img004962,img282038,238,12655
119,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004962_img337488.png,morphed_img004962_img337488.png,img004962,img337488,238,15168
120,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004962_img496816.png,morphed_img004962_img496816.png,img004962,img496816,238,22347
121,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005078_img054553.png,morphed_img005078_img054553.png,img005078,img054553,243,2422
122,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005078_img099545.png,morphed_img005078_img099545.png,img005078,img099545,243,4403
123,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005078_img282038.png,morphed_img005078_img282038.png,img005078,img282038,243,12655
124,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005078_img337488.png,morphed_img005078_img337488.png,img005078,img337488,243,15168
125,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005182_img337488.png,morphed_img005182_img337488.png,img005182,img337488,251,15168
126,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005182_img496816.png,morphed_img005182_img496816.png,img005182,img496816,251,22347
127,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005258_img054553.png,morphed_img005258_img054553.png,img005258,img054553,254,2422
128,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005258_img099545.png,morphed_img005258_img099545.png,img005258,img099545,254,4403
129,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005258_img282038.png,morphed_img005258_img282038.png,img005258,img282038,254,12655
130,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005258_img337488.png,morphed_img005258_img337488.png,img005258,img337488,254,15168
131,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005437_img054553.png,morphed_img005437_img054553.png,img005437,img054553,260,2422
132,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005437_img496816.png,morphed_img005437_img496816.png,img005437,img496816,260,22347
133,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005623_img054553.png,morphed_img005623_img054553.png,img005623,img054553,267,2422
134,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005623_img099545.png,morphed_img005623_img099545.png,img005623,img099545,267,4403
135,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005623_img282038.png,morphed_img005623_img282038.png,img005623,img282038,267,12655
136,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005623_img337488.png,morphed_img005623_img337488.png,img005623,img337488,267,15168
137,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005893_img099545.png,morphed_img005893_img099545.png,img005893,img099545,280,4403
138,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005893_img337488.png,morphed_img005893_img337488.png,img005893,img337488,280,15168
139,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005893_img496816.png,morphed_img005893_img496816.png,img005893,img496816,280,22347
140,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006201_img054553.png,morphed_img006201_img054553.png,img006201,img054553,288,2422
141,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006201_img099545.png,morphed_img006201_img099545.png,img006201,img099545,288,4403
142,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006201_img282038.png,morphed_img006201_img282038.png,img006201,img282038,288,12655
143,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006201_img337488.png,morphed_img006201_img337488.png,img006201,img337488,288,15168
144,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006201_img496816.png,morphed_img006201_img496816.png,img006201,img496816,288,22347
145,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006284_img496816.png,morphed_img006284_img496816.png,img006284,img496816,290,22347
146,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006350_img054553.png,morphed_img006350_img054553.png,img006350,img054553,293,2422
147,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006350_img282038.png,morphed_img006350_img282038.png,img006350,img282038,293,12655
148,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006350_img337488.png,morphed_img006350_img337488.png,img006350,img337488,293,15168
149,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006350_img496816.png,morphed_img006350_img496816.png,img006350,img496816,293,22347
150,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006830_img054553.png,morphed_img006830_img054553.png,img006830,img054553,313,2422
151,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006830_img099545.png,morphed_img006830_img099545.png,img006830,img099545,313,4403
152,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006830_img282038.png,morphed_img006830_img282038.png,img006830,img282038,313,12655
153,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006830_img337488.png,morphed_img006830_img337488.png,img006830,img337488,313,15168
154,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006928_img337488.png,morphed_img006928_img337488.png,img006928,img337488,317,15168
155,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006928_img496816.png,morphed_img006928_img496816.png,img006928,img496816,317,22347
156,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006972_img054553.png,morphed_img006972_img054553.png,img006972,img054553,322,2422
157,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006972_img099545.png,morphed_img006972_img099545.png,img006972,img099545,322,4403
158,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006972_img282038.png,morphed_img006972_img282038.png,img006972,img282038,322,12655
159,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006972_img337488.png,morphed_img006972_img337488.png,img006972,img337488,322,15168
160,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img006972_img496816.png,morphed_img006972_img496816.png,img006972,img496816,322,22347
