embedding_index,filename,image_path,identity_id,label,split,images_per_identity
40,001284.png,/nas-ctm01/datasets/public/celeba/001284.png,6164,112,train,29
41,001300.png,/nas-ctm01/datasets/public/celeba/001300.png,10160,197,val,30
42,001301.png,/nas-ctm01/datasets/public/celeba/001301.png,7195,142,train,30
43,001362.png,/nas-ctm01/datasets/public/celeba/001362.png,8702,164,train,30
44,001399.png,/nas-ctm01/datasets/public/celeba/001399.png,3017,43,train,29
45,001419.png,/nas-ctm01/datasets/public/celeba/001419.png,6439,122,train,30
46,001424.png,/nas-ctm01/datasets/public/celeba/001424.png,4955,80,train,30
47,001465.png,/nas-ctm01/datasets/public/celeba/001465.png,6292,114,train,30
48,001530.png,/nas-ctm01/datasets/public/celeba/001530.png,10000,191,train,30
49,001578.png,/nas-ctm01/datasets/public/celeba/001578.png,5479,91,val,29
50,001633.png,/nas-ctm01/datasets/public/celeba/001633.png,1448,12,train,25
51,001655.png,/nas-ctm01/datasets/public/celeba/001655.png,1422,11,val,30
52,001673.png,/nas-ctm01/datasets/public/celeba/001673.png,9790,188,train,30
53,001733.png,/nas-ctm01/datasets/public/celeba/001733.png,10144,196,train,28
54,001746.png,/nas-ctm01/datasets/public/celeba/001746.png,3808,53,train,29
55,001749.png,/nas-ctm01/datasets/public/celeba/001749.png,2334,36,train,30
56,001792.png,/nas-ctm01/datasets/public/celeba/001792.png,1946,20,train,30
57,001802.png,/nas-ctm01/datasets/public/celeba/001802.png,5046,81,train,30
58,001808.png,/nas-ctm01/datasets/public/celeba/001808.png,4951,79,val,30
59,001829.png,/nas-ctm01/datasets/public/celeba/001829.png,8946,172,train,30
60,001841.png,/nas-ctm01/datasets/public/celeba/001841.png,8820,169,train,28
61,001855.png,/nas-ctm01/datasets/public/celeba/001855.png,7348,144,train,30
62,001875.png,/nas-ctm01/datasets/public/celeba/001875.png,8614,162,train,29
63,001926.png,/nas-ctm01/datasets/public/celeba/001926.png,8247,156,train,29
64,001927.png,/nas-ctm01/datasets/public/celeba/001927.png,1852,19,train,30
65,002066.png,/nas-ctm01/datasets/public/celeba/002066.png,6164,112,train,29
66,002079.png,/nas-ctm01/datasets/public/celeba/002079.png,8940,171,val,28
67,002116.png,/nas-ctm01/datasets/public/celeba/002116.png,10134,195,train,30
68,002158.png,/nas-ctm01/datasets/public/celeba/002158.png,9206,180,train,30
69,002172.png,/nas-ctm01/datasets/public/celeba/002172.png,4808,73,train,30
70,002193.png,/nas-ctm01/datasets/public/celeba/002193.png,6851,130,train,30
71,002196.png,/nas-ctm01/datasets/public/celeba/002196.png,5747,98,test,30
72,002233.png,/nas-ctm01/datasets/public/celeba/002233.png,2158,27,train,29
73,002243.png,/nas-ctm01/datasets/public/celeba/002243.png,9789,187,train,30
74,002253.png,/nas-ctm01/datasets/public/celeba/002253.png,3941,56,train,30
75,002264.png,/nas-ctm01/datasets/public/celeba/002264.png,3808,53,train,29
76,002278.png,/nas-ctm01/datasets/public/celeba/002278.png,6354,117,train,30
77,002390.png,/nas-ctm01/datasets/public/celeba/002390.png,6351,116,test,30
78,002446.png,/nas-ctm01/datasets/public/celeba/002446.png,534,2,train,30
79,002520.png,/nas-ctm01/datasets/public/celeba/002520.png,9915,190,train,30
80,002662.png,/nas-ctm01/datasets/public/celeba/002662.png,5489,93,train,30
81,002736.png,/nas-ctm01/datasets/public/celeba/002736.png,1852,19,train,30
82,002767.png,/nas-ctm01/datasets/public/celeba/002767.png,7260,143,train,30
83,002792.png,/nas-ctm01/datasets/public/celeba/002792.png,5489,93,train,30
84,002866.png,/nas-ctm01/datasets/public/celeba/002866.png,6292,114,val,30
85,002872.png,/nas-ctm01/datasets/public/celeba/002872.png,3941,56,train,30
86,002885.png,/nas-ctm01/datasets/public/celeba/002885.png,6079,108,train,30
87,002918.png,/nas-ctm01/datasets/public/celeba/002918.png,4511,68,train,30
88,002950.png,/nas-ctm01/datasets/public/celeba/002950.png,7195,142,train,30
89,002971.png,/nas-ctm01/datasets/public/celeba/002971.png,7151,140,train,29
90,003022.png,/nas-ctm01/datasets/public/celeba/003022.png,10000,191,train,30
91,003095.png,/nas-ctm01/datasets/public/celeba/003095.png,7195,142,train,30
92,003134.png,/nas-ctm01/datasets/public/celeba/003134.png,8702,164,train,30
93,003156.png,/nas-ctm01/datasets/public/celeba/003156.png,6860,131,train,30
94,003180.png,/nas-ctm01/datasets/public/celeba/003180.png,3024,45,train,28
95,003193.png,/nas-ctm01/datasets/public/celeba/003193.png,3022,44,train,30
96,003218.png,/nas-ctm01/datasets/public/celeba/003218.png,5704,97,val,27
97,003287.png,/nas-ctm01/datasets/public/celeba/003287.png,5182,84,train,29
98,003339.png,/nas-ctm01/datasets/public/celeba/003339.png,3808,53,val,29
99,003351.png,/nas-ctm01/datasets/public/celeba/003351.png,8940,171,train,28
100,003368.png,/nas-ctm01/datasets/public/celeba/003368.png,3263,48,train,28
101,003378.png,/nas-ctm01/datasets/public/celeba/003378.png,2066,25,val,30
102,003388.png,/nas-ctm01/datasets/public/celeba/003388.png,4321,61,train,30
103,003395.png,/nas-ctm01/datasets/public/celeba/003395.png,7001,137,train,30
104,003405.png,/nas-ctm01/datasets/public/celeba/003405.png,5344,86,train,30
105,003469.png,/nas-ctm01/datasets/public/celeba/003469.png,3678,52,train,29
106,003497.png,/nas-ctm01/datasets/public/celeba/003497.png,1467,13,train,30
107,003524.png,/nas-ctm01/datasets/public/celeba/003524.png,7353,145,train,29
108,003525.png,/nas-ctm01/datasets/public/celeba/003525.png,2015,23,test,30
109,003577.png,/nas-ctm01/datasets/public/celeba/003577.png,6803,128,train,29
110,003588.png,/nas-ctm01/datasets/public/celeba/003588.png,3022,44,train,30
111,003594.png,/nas-ctm01/datasets/public/celeba/003594.png,5951,104,train,25
112,003641.png,/nas-ctm01/datasets/public/celeba/003641.png,6043,106,test,29
113,003645.png,/nas-ctm01/datasets/public/celeba/003645.png,7138,139,train,29
114,003670.png,/nas-ctm01/datasets/public/celeba/003670.png,5704,97,train,27
115,003672.png,/nas-ctm01/datasets/public/celeba/003672.png,1258,8,train,29
116,003673.png,/nas-ctm01/datasets/public/celeba/003673.png,6354,117,val,30
117,003703.png,/nas-ctm01/datasets/public/celeba/003703.png,9091,176,train,30
118,003707.png,/nas-ctm01/datasets/public/celeba/003707.png,5382,87,train,29
119,003841.png,/nas-ctm01/datasets/public/celeba/003841.png,4936,77,train,30
120,003853.png,/nas-ctm01/datasets/public/celeba/003853.png,8820,169,train,28
121,003899.png,/nas-ctm01/datasets/public/celeba/003899.png,9678,184,train,30
122,003934.png,/nas-ctm01/datasets/public/celeba/003934.png,2055,24,test,30
123,004008.png,/nas-ctm01/datasets/public/celeba/004008.png,5827,102,val,30
124,004034.png,/nas-ctm01/datasets/public/celeba/004034.png,6928,135,train,30
125,004039.png,/nas-ctm01/datasets/public/celeba/004039.png,5142,83,train,30
126,004078.png,/nas-ctm01/datasets/public/celeba/004078.png,6042,105,train,29
127,004106.png,/nas-ctm01/datasets/public/celeba/004106.png,894,4,train,30
128,004242.png,/nas-ctm01/datasets/public/celeba/004242.png,7850,148,train,27
129,004282.png,/nas-ctm01/datasets/public/celeba/004282.png,5704,97,test,27
130,004307.png,/nas-ctm01/datasets/public/celeba/004307.png,9789,187,train,30
131,004400.png,/nas-ctm01/datasets/public/celeba/004400.png,9184,179,train,30
132,004475.png,/nas-ctm01/datasets/public/celeba/004475.png,5344,86,train,30
133,004514.png,/nas-ctm01/datasets/public/celeba/004514.png,7138,139,train,29
134,004566.png,/nas-ctm01/datasets/public/celeba/004566.png,5142,83,train,30
135,004567.png,/nas-ctm01/datasets/public/celeba/004567.png,4157,58,val,30
136,004576.png,/nas-ctm01/datasets/public/celeba/004576.png,5911,103,val,29
137,004592.png,/nas-ctm01/datasets/public/celeba/004592.png,8783,167,val,30
138,004595.png,/nas-ctm01/datasets/public/celeba/004595.png,7353,145,train,29
139,004599.png,/nas-ctm01/datasets/public/celeba/004599.png,3017,43,train,29
140,004601.png,/nas-ctm01/datasets/public/celeba/004601.png,6876,132,val,30
141,004606.png,/nas-ctm01/datasets/public/celeba/004606.png,6355,118,train,30
142,004645.png,/nas-ctm01/datasets/public/celeba/004645.png,1128,6,train,30
143,004648.png,/nas-ctm01/datasets/public/celeba/004648.png,6877,133,train,26
144,004671.png,/nas-ctm01/datasets/public/celeba/004671.png,1990,22,train,30
145,004744.png,/nas-ctm01/datasets/public/celeba/004744.png,3896,54,val,29
146,004755.png,/nas-ctm01/datasets/public/celeba/004755.png,4577,69,train,30
147,004769.png,/nas-ctm01/datasets/public/celeba/004769.png,4955,80,train,30
148,004836.png,/nas-ctm01/datasets/public/celeba/004836.png,2066,25,test,30
149,004928.png,/nas-ctm01/datasets/public/celeba/004928.png,6719,126,train,29
150,005009.png,/nas-ctm01/datasets/public/celeba/005009.png,289,1,val,30
151,005015.png,/nas-ctm01/datasets/public/celeba/005015.png,3386,49,test,28
152,005019.png,/nas-ctm01/datasets/public/celeba/005019.png,5473,90,train,30
153,005064.png,/nas-ctm01/datasets/public/celeba/005064.png,8247,156,train,29
154,005076.png,/nas-ctm01/datasets/public/celeba/005076.png,9915,190,train,30
155,005109.png,/nas-ctm01/datasets/public/celeba/005109.png,7260,143,test,30
156,005197.png,/nas-ctm01/datasets/public/celeba/005197.png,3263,48,train,28
157,005262.png,/nas-ctm01/datasets/public/celeba/005262.png,5827,102,train,30
158,005267.png,/nas-ctm01/datasets/public/celeba/005267.png,2236,31,train,29
159,005370.png,/nas-ctm01/datasets/public/celeba/005370.png,4321,61,train,30
160,005394.png,/nas-ctm01/datasets/public/celeba/005394.png,9731,185,train,30
161,005484.png,/nas-ctm01/datasets/public/celeba/005484.png,8208,155,test,29
162,005504.png,/nas-ctm01/datasets/public/celeba/005504.png,7348,144,train,30
163,005550.png,/nas-ctm01/datasets/public/celeba/005550.png,9206,180,val,30
164,005586.png,/nas-ctm01/datasets/public/celeba/005586.png,1128,6,val,30
165,005602.png,/nas-ctm01/datasets/public/celeba/005602.png,3600,51,train,30
166,005614.png,/nas-ctm01/datasets/public/celeba/005614.png,1422,11,train,30
167,005620.png,/nas-ctm01/datasets/public/celeba/005620.png,10134,195,train,30
168,005662.png,/nas-ctm01/datasets/public/celeba/005662.png,1135,7,train,30
169,005723.png,/nas-ctm01/datasets/public/celeba/005723.png,5382,87,train,29
170,005799.png,/nas-ctm01/datasets/public/celeba/005799.png,7923,151,train,27
171,005818.png,/nas-ctm01/datasets/public/celeba/005818.png,6354,117,train,30
172,005917.png,/nas-ctm01/datasets/public/celeba/005917.png,8469,161,test,28
173,005938.png,/nas-ctm01/datasets/public/celeba/005938.png,9731,185,train,30
174,006009.png,/nas-ctm01/datasets/public/celeba/006009.png,6351,116,train,30
175,006102.png,/nas-ctm01/datasets/public/celeba/006102.png,5382,87,train,29
176,006137.png,/nas-ctm01/datasets/public/celeba/006137.png,6386,120,train,29
177,006149.png,/nas-ctm01/datasets/public/celeba/006149.png,3017,43,train,29
178,006192.png,/nas-ctm01/datasets/public/celeba/006192.png,6928,135,val,30
179,006210.png,/nas-ctm01/datasets/public/celeba/006210.png,3678,52,train,29
180,006221.png,/nas-ctm01/datasets/public/celeba/006221.png,6386,120,test,29
181,006267.png,/nas-ctm01/datasets/public/celeba/006267.png,2318,35,val,30
182,006289.png,/nas-ctm01/datasets/public/celeba/006289.png,1371,10,train,30
183,006303.png,/nas-ctm01/datasets/public/celeba/006303.png,6351,116,train,30
184,006325.png,/nas-ctm01/datasets/public/celeba/006325.png,4808,73,train,30
185,006336.png,/nas-ctm01/datasets/public/celeba/006336.png,4832,75,train,30
186,006378.png,/nas-ctm01/datasets/public/celeba/006378.png,1629,16,test,30
187,006405.png,/nas-ctm01/datasets/public/celeba/006405.png,7004,138,test,30
188,006416.png,/nas-ctm01/datasets/public/celeba/006416.png,10085,193,train,26
189,006468.png,/nas-ctm01/datasets/public/celeba/006468.png,6079,108,test,30
190,006574.png,/nas-ctm01/datasets/public/celeba/006574.png,5344,86,train,30
191,006579.png,/nas-ctm01/datasets/public/celeba/006579.png,9731,185,train,30
192,006640.png,/nas-ctm01/datasets/public/celeba/006640.png,6682,124,train,28
193,006662.png,/nas-ctm01/datasets/public/celeba/006662.png,2898,42,train,28
194,006671.png,/nas-ctm01/datasets/public/celeba/006671.png,3056,46,train,28
195,006693.png,/nas-ctm01/datasets/public/celeba/006693.png,7151,140,train,29
196,006717.png,/nas-ctm01/datasets/public/celeba/006717.png,6439,122,val,30
197,006775.png,/nas-ctm01/datasets/public/celeba/006775.png,9790,188,test,30
198,006881.png,/nas-ctm01/datasets/public/celeba/006881.png,9138,177,val,30
199,006983.png,/nas-ctm01/datasets/public/celeba/006983.png,6803,128,test,29
200,007014.png,/nas-ctm01/datasets/public/celeba/007014.png,8469,161,train,28
201,007028.png,/nas-ctm01/datasets/public/celeba/007028.png,6337,115,train,29
202,007043.png,/nas-ctm01/datasets/public/celeba/007043.png,1448,12,train,25
203,007068.png,/nas-ctm01/datasets/public/celeba/007068.png,8457,160,train,25
204,007105.png,/nas-ctm01/datasets/public/celeba/007105.png,5382,87,train,29
205,007130.png,/nas-ctm01/datasets/public/celeba/007130.png,6354,117,train,30
206,007174.png,/nas-ctm01/datasets/public/celeba/007174.png,2261,33,train,30
207,007176.png,/nas-ctm01/datasets/public/celeba/007176.png,6803,128,train,29
208,007183.png,/nas-ctm01/datasets/public/celeba/007183.png,8614,162,train,29
209,007206.png,/nas-ctm01/datasets/public/celeba/007206.png,3896,54,val,29
210,007240.png,/nas-ctm01/datasets/public/celeba/007240.png,6860,131,train,30
211,007252.png,/nas-ctm01/datasets/public/celeba/007252.png,8469,161,train,28
212,007293.png,/nas-ctm01/datasets/public/celeba/007293.png,9789,187,train,30
213,007298.png,/nas-ctm01/datasets/public/celeba/007298.png,1990,22,val,30
214,007299.png,/nas-ctm01/datasets/public/celeba/007299.png,8783,167,train,30
215,007306.png,/nas-ctm01/datasets/public/celeba/007306.png,6365,119,train,30
216,007344.png,/nas-ctm01/datasets/public/celeba/007344.png,894,4,test,30
217,007456.png,/nas-ctm01/datasets/public/celeba/007456.png,3024,45,train,28
218,007490.png,/nas-ctm01/datasets/public/celeba/007490.png,10160,197,train,30
219,007555.png,/nas-ctm01/datasets/public/celeba/007555.png,4577,69,val,30
220,007562.png,/nas-ctm01/datasets/public/celeba/007562.png,7850,148,train,27
221,007613.png,/nas-ctm01/datasets/public/celeba/007613.png,7001,137,train,30
222,007681.png,/nas-ctm01/datasets/public/celeba/007681.png,534,2,test,30
223,007712.png,/nas-ctm01/datasets/public/celeba/007712.png,1946,20,train,30
224,007733.png,/nas-ctm01/datasets/public/celeba/007733.png,6876,132,train,30
225,007799.png,/nas-ctm01/datasets/public/celeba/007799.png,6042,105,train,29
226,007832.png,/nas-ctm01/datasets/public/celeba/007832.png,4636,70,train,27
227,007882.png,/nas-ctm01/datasets/public/celeba/007882.png,2805,40,train,30
228,007955.png,/nas-ctm01/datasets/public/celeba/007955.png,5911,103,train,29
229,007991.png,/nas-ctm01/datasets/public/celeba/007991.png,8148,153,train,30
230,008034.png,/nas-ctm01/datasets/public/celeba/008034.png,5046,81,train,30
231,008036.png,/nas-ctm01/datasets/public/celeba/008036.png,3808,53,test,29
232,008116.png,/nas-ctm01/datasets/public/celeba/008116.png,6044,107,train,29
233,008131.png,/nas-ctm01/datasets/public/celeba/008131.png,6483,123,train,30
234,008155.png,/nas-ctm01/datasets/public/celeba/008155.png,9056,174,train,27
235,008173.png,/nas-ctm01/datasets/public/celeba/008173.png,7260,143,train,30
236,008328.png,/nas-ctm01/datasets/public/celeba/008328.png,5479,91,test,29
237,008372.png,/nas-ctm01/datasets/public/celeba/008372.png,8614,162,test,29
238,008407.png,/nas-ctm01/datasets/public/celeba/008407.png,4309,60,val,26
239,008505.png,/nas-ctm01/datasets/public/celeba/008505.png,7138,139,train,29
240,008523.png,/nas-ctm01/datasets/public/celeba/008523.png,7850,148,train,27
241,008650.png,/nas-ctm01/datasets/public/celeba/008650.png,6439,122,train,30
242,008662.png,/nas-ctm01/datasets/public/celeba/008662.png,6420,121,val,30
243,008675.png,/nas-ctm01/datasets/public/celeba/008675.png,5344,86,train,30
244,008678.png,/nas-ctm01/datasets/public/celeba/008678.png,6365,119,train,30
245,008710.png,/nas-ctm01/datasets/public/celeba/008710.png,1467,13,train,30
246,008715.png,/nas-ctm01/datasets/public/celeba/008715.png,5747,98,train,30
247,008739.png,/nas-ctm01/datasets/public/celeba/008739.png,4577,69,val,30
248,008769.png,/nas-ctm01/datasets/public/celeba/008769.png,9138,177,train,30
249,008773.png,/nas-ctm01/datasets/public/celeba/008773.png,8208,155,train,29
250,008811.png,/nas-ctm01/datasets/public/celeba/008811.png,5473,90,train,30
251,008820.png,/nas-ctm01/datasets/public/celeba/008820.png,2318,35,train,30
252,008847.png,/nas-ctm01/datasets/public/celeba/008847.png,6292,114,train,30
253,008878.png,/nas-ctm01/datasets/public/celeba/008878.png,3600,51,train,30
254,008893.png,/nas-ctm01/datasets/public/celeba/008893.png,1493,14,train,29
255,008900.png,/nas-ctm01/datasets/public/celeba/008900.png,10000,191,test,30
256,008919.png,/nas-ctm01/datasets/public/celeba/008919.png,4672,71,val,30
257,008972.png,/nas-ctm01/datasets/public/celeba/008972.png,6337,115,val,29
258,008978.png,/nas-ctm01/datasets/public/celeba/008978.png,3678,52,train,29
259,009035.png,/nas-ctm01/datasets/public/celeba/009035.png,8457,160,train,25
260,009083.png,/nas-ctm01/datasets/public/celeba/009083.png,6079,108,train,30
261,009086.png,/nas-ctm01/datasets/public/celeba/009086.png,10160,197,train,30
262,009102.png,/nas-ctm01/datasets/public/celeba/009102.png,6044,107,train,29
263,009114.png,/nas-ctm01/datasets/public/celeba/009114.png,6921,134,train,26
264,009120.png,/nas-ctm01/datasets/public/celeba/009120.png,6351,116,train,30
265,009147.png,/nas-ctm01/datasets/public/celeba/009147.png,8940,171,test,28
266,009210.png,/nas-ctm01/datasets/public/celeba/009210.png,6860,131,train,30
267,009215.png,/nas-ctm01/datasets/public/celeba/009215.png,7151,140,train,29
268,009263.png,/nas-ctm01/datasets/public/celeba/009263.png,6719,126,test,29
269,009286.png,/nas-ctm01/datasets/public/celeba/009286.png,6337,115,train,29
270,009295.png,/nas-ctm01/datasets/public/celeba/009295.png,5394,88,train,30
271,009298.png,/nas-ctm01/datasets/public/celeba/009298.png,2225,30,train,30
272,009329.png,/nas-ctm01/datasets/public/celeba/009329.png,9790,188,train,30
273,009339.png,/nas-ctm01/datasets/public/celeba/009339.png,6860,131,train,30
274,009357.png,/nas-ctm01/datasets/public/celeba/009357.png,6751,127,train,28
275,009395.png,/nas-ctm01/datasets/public/celeba/009395.png,9915,190,train,30
276,009458.png,/nas-ctm01/datasets/public/celeba/009458.png,8785,168,train,29
277,009497.png,/nas-ctm01/datasets/public/celeba/009497.png,6751,127,train,28
278,009503.png,/nas-ctm01/datasets/public/celeba/009503.png,6877,133,train,26
279,009560.png,/nas-ctm01/datasets/public/celeba/009560.png,1946,20,train,30
280,009563.png,/nas-ctm01/datasets/public/celeba/009563.png,2225,30,train,30
281,009613.png,/nas-ctm01/datasets/public/celeba/009613.png,2643,38,val,29
282,009668.png,/nas-ctm01/datasets/public/celeba/009668.png,2066,25,train,30
283,009680.png,/nas-ctm01/datasets/public/celeba/009680.png,2805,40,train,30
284,009689.png,/nas-ctm01/datasets/public/celeba/009689.png,6851,130,train,30
285,009728.png,/nas-ctm01/datasets/public/celeba/009728.png,7850,148,train,27
286,009769.png,/nas-ctm01/datasets/public/celeba/009769.png,9138,177,train,30
287,009778.png,/nas-ctm01/datasets/public/celeba/009778.png,4955,80,train,30
288,009817.png,/nas-ctm01/datasets/public/celeba/009817.png,5482,92,train,29
289,009818.png,/nas-ctm01/datasets/public/celeba/009818.png,5341,85,train,30
290,009895.png,/nas-ctm01/datasets/public/celeba/009895.png,6803,128,train,29
291,009919.png,/nas-ctm01/datasets/public/celeba/009919.png,1467,13,train,30
292,009922.png,/nas-ctm01/datasets/public/celeba/009922.png,8820,169,test,28
293,009993.png,/nas-ctm01/datasets/public/celeba/009993.png,7001,137,val,30
294,010057.png,/nas-ctm01/datasets/public/celeba/010057.png,2334,36,train,30
295,010108.png,/nas-ctm01/datasets/public/celeba/010108.png,3017,43,train,29
296,010259.png,/nas-ctm01/datasets/public/celeba/010259.png,1371,10,test,30
297,010260.png,/nas-ctm01/datasets/public/celeba/010260.png,4577,69,train,30
298,010344.png,/nas-ctm01/datasets/public/celeba/010344.png,8940,171,train,28
299,010357.png,/nas-ctm01/datasets/public/celeba/010357.png,2236,31,train,29
300,010367.png,/nas-ctm01/datasets/public/celeba/010367.png,8946,172,val,30
301,010378.png,/nas-ctm01/datasets/public/celeba/010378.png,5344,86,train,30
302,010389.png,/nas-ctm01/datasets/public/celeba/010389.png,3569,50,val,29
303,010517.png,/nas-ctm01/datasets/public/celeba/010517.png,6876,132,train,30
304,010557.png,/nas-ctm01/datasets/public/celeba/010557.png,2318,35,test,30
305,010564.png,/nas-ctm01/datasets/public/celeba/010564.png,5747,98,train,30
306,010676.png,/nas-ctm01/datasets/public/celeba/010676.png,8946,172,val,30
307,010688.png,/nas-ctm01/datasets/public/celeba/010688.png,1128,6,train,30
308,010721.png,/nas-ctm01/datasets/public/celeba/010721.png,5482,92,train,29
309,010736.png,/nas-ctm01/datasets/public/celeba/010736.png,1493,14,train,29
310,010821.png,/nas-ctm01/datasets/public/celeba/010821.png,9245,181,train,30
311,010853.png,/nas-ctm01/datasets/public/celeba/010853.png,6719,126,train,29
312,010976.png,/nas-ctm01/datasets/public/celeba/010976.png,8783,167,train,30
313,011071.png,/nas-ctm01/datasets/public/celeba/011071.png,2870,41,train,29
314,011073.png,/nas-ctm01/datasets/public/celeba/011073.png,95,0,train,30
315,011082.png,/nas-ctm01/datasets/public/celeba/011082.png,894,4,train,30
316,011094.png,/nas-ctm01/datasets/public/celeba/011094.png,2805,40,train,30
317,011095.png,/nas-ctm01/datasets/public/celeba/011095.png,6043,106,train,29
318,011164.png,/nas-ctm01/datasets/public/celeba/011164.png,9056,174,val,27
319,011214.png,/nas-ctm01/datasets/public/celeba/011214.png,5951,104,train,25
320,011266.png,/nas-ctm01/datasets/public/celeba/011266.png,2296,34,train,29
321,011276.png,/nas-ctm01/datasets/public/celeba/011276.png,2015,23,train,30
322,011314.png,/nas-ctm01/datasets/public/celeba/011314.png,8614,162,train,29
323,011341.png,/nas-ctm01/datasets/public/celeba/011341.png,10000,191,train,30
324,011342.png,/nas-ctm01/datasets/public/celeba/011342.png,1947,21,train,30
325,011363.png,/nas-ctm01/datasets/public/celeba/011363.png,10160,197,train,30
326,011441.png,/nas-ctm01/datasets/public/celeba/011441.png,6439,122,train,30
327,011536.png,/nas-ctm01/datasets/public/celeba/011536.png,6719,126,train,29
328,011545.png,/nas-ctm01/datasets/public/celeba/011545.png,5911,103,train,29
329,011579.png,/nas-ctm01/datasets/public/celeba/011579.png,4955,80,val,30
330,011640.png,/nas-ctm01/datasets/public/celeba/011640.png,2296,34,train,29
331,011664.png,/nas-ctm01/datasets/public/celeba/011664.png,6751,127,train,28
332,011669.png,/nas-ctm01/datasets/public/celeba/011669.png,1422,11,train,30
333,011707.png,/nas-ctm01/datasets/public/celeba/011707.png,2318,35,train,30
334,011750.png,/nas-ctm01/datasets/public/celeba/011750.png,10000,191,train,30
335,011766.png,/nas-ctm01/datasets/public/celeba/011766.png,1852,19,train,30
336,011776.png,/nas-ctm01/datasets/public/celeba/011776.png,4832,75,train,30
337,011787.png,/nas-ctm01/datasets/public/celeba/011787.png,6337,115,train,29
338,011800.png,/nas-ctm01/datasets/public/celeba/011800.png,3022,44,train,30
339,011847.png,/nas-ctm01/datasets/public/celeba/011847.png,5473,90,val,30
340,011883.png,/nas-ctm01/datasets/public/celeba/011883.png,8448,158,train,30
341,011896.png,/nas-ctm01/datasets/public/celeba/011896.png,6079,108,train,30
342,011909.png,/nas-ctm01/datasets/public/celeba/011909.png,6844,129,train,30
343,011982.png,/nas-ctm01/datasets/public/celeba/011982.png,6042,105,train,29
344,012040.png,/nas-ctm01/datasets/public/celeba/012040.png,7151,140,train,29
345,012064.png,/nas-ctm01/datasets/public/celeba/012064.png,8469,161,train,28
346,012105.png,/nas-ctm01/datasets/public/celeba/012105.png,4511,68,train,30
347,012214.png,/nas-ctm01/datasets/public/celeba/012214.png,4951,79,train,30
