row_index_in_train_npy,embedding_index_original_dataset,smiling_probability,smiling_percentage,smiling_prediction,filename,image_path
135,49563,0.25102717,25.1027,0,49563.png,/nas-ctm01/datasets/public/ffhq256/49563.png
136,3645,0.99206334,99.2063,1,03645.png,/nas-ctm01/datasets/public/ffhq256/03645.png
137,26658,0.72105956,72.1060,1,26658.png,/nas-ctm01/datasets/public/ffhq256/26658.png
138,6481,0.38821438,38.8214,0,06481.png,/nas-ctm01/datasets/public/ffhq256/06481.png
139,53935,0.39665982,39.6660,0,53935.png,/nas-ctm01/datasets/public/ffhq256/53935.png
140,60765,0.19449839,19.4498,0,60765.png,/nas-ctm01/datasets/public/ffhq256/60765.png
141,13504,0.99940670,99.9407,1,13504.png,/nas-ctm01/datasets/public/ffhq256/13504.png
142,61285,0.95606589,95.6066,1,61285.png,/nas-ctm01/datasets/public/ffhq256/61285.png
143,53215,0.98967886,98.9679,1,53215.png,/nas-ctm01/datasets/public/ffhq256/53215.png
144,64472,0.33490327,33.4903,0,64472.png,/nas-ctm01/datasets/public/ffhq256/64472.png
145,68342,0.00467555,0.4676,0,68342.png,/nas-ctm01/datasets/public/ffhq256/68342.png
146,55441,0.99040204,99.0402,1,55441.png,/nas-ctm01/datasets/public/ffhq256/55441.png
147,21254,0.77979845,77.9798,1,21254.png,/nas-ctm01/datasets/public/ffhq256/21254.png
148,28650,0.97448957,97.4490,1,28650.png,/nas-ctm01/datasets/public/ffhq256/28650.png
149,191,0.57833928,57.8339,1,00191.png,/nas-ctm01/datasets/public/ffhq256/00191.png
150,69032,0.99519402,99.5194,1,69032.png,/nas-ctm01/datasets/public/ffhq256/69032.png
151,23981,0.82005322,82.0053,1,23981.png,/nas-ctm01/datasets/public/ffhq256/23981.png
152,53097,0.94246620,94.2466,1,53097.png,/nas-ctm01/datasets/public/ffhq256/53097.png
153,3310,0.99067849,99.0678,1,03310.png,/nas-ctm01/datasets/public/ffhq256/03310.png
154,46570,0.36415520,36.4155,0,46570.png,/nas-ctm01/datasets/public/ffhq256/46570.png
155,34907,0.97986794,97.9868,1,34907.png,/nas-ctm01/datasets/public/ffhq256/34907.png
156,5491,0.99015713,99.0157,1,05491.png,/nas-ctm01/datasets/public/ffhq256/05491.png
157,64459,0.99658585,99.6586,1,64459.png,/nas-ctm01/datasets/public/ffhq256/64459.png
158,7514,0.47824147,47.8241,0,07514.png,/nas-ctm01/datasets/public/ffhq256/07514.png
159,36603,0.04662253,4.6623,0,36603.png,/nas-ctm01/datasets/public/ffhq256/36603.png
160,5598,0.32690552,32.6906,0,05598.png,/nas-ctm01/datasets/public/ffhq256/05598.png
161,25304,0.01073575,1.0736,0,25304.png,/nas-ctm01/datasets/public/ffhq256/25304.png
162,124,0.56299460,56.2995,1,00124.png,/nas-ctm01/datasets/public/ffhq256/00124.png
163,7722,0.01165170,1.1652,0,07722.png,/nas-ctm01/datasets/public/ffhq256/07722.png
164,52000,0.34988794,34.9888,0,52000.png,/nas-ctm01/datasets/public/ffhq256/52000.png
165,12690,0.98165476,98.1655,1,12690.png,/nas-ctm01/datasets/public/ffhq256/12690.png
166,39337,0.22557259,22.5573,0,39337.png,/nas-ctm01/datasets/public/ffhq256/39337.png
167,39247,0.11532074,11.5321,0,39247.png,/nas-ctm01/datasets/public/ffhq256/39247.png
168,66846,0.37781382,37.7814,0,66846.png,/nas-ctm01/datasets/public/ffhq256/66846.png
169,110,0.99946457,99.9465,1,00110.png,/nas-ctm01/datasets/public/ffhq256/00110.png
170,55056,0.03474670,3.4747,0,55056.png,/nas-ctm01/datasets/public/ffhq256/55056.png
171,40786,0.84742284,84.7423,1,40786.png,/nas-ctm01/datasets/public/ffhq256/40786.png
172,38456,0.26599452,26.5995,0,38456.png,/nas-ctm01/datasets/public/ffhq256/38456.png
173,55620,0.03444162,3.4442,0,55620.png,/nas-ctm01/datasets/public/ffhq256/55620.png
174,57012,0.96229118,96.2291,1,57012.png,/nas-ctm01/datasets/public/ffhq256/57012.png
175,34252,0.11771365,11.7714,0,34252.png,/nas-ctm01/datasets/public/ffhq256/34252.png
176,3495,0.35473207,35.4732,0,03495.png,/nas-ctm01/datasets/public/ffhq256/03495.png
177,57741,0.16033724,16.0337,0,57741.png,/nas-ctm01/datasets/public/ffhq256/57741.png
178,19990,0.81287235,81.2872,1,19990.png,/nas-ctm01/datasets/public/ffhq256/19990.png
179,35519,0.26858583,26.8586,0,35519.png,/nas-ctm01/datasets/public/ffhq256/35519.png
180,67815,0.96169978,96.1700,1,67815.png,/nas-ctm01/datasets/public/ffhq256/67815.png
181,51996,0.01498215,1.4982,0,51996.png,/nas-ctm01/datasets/public/ffhq256/51996.png
182,37946,0.32686818,32.6868,0,37946.png,/nas-ctm01/datasets/public/ffhq256/37946.png
183,68616,0.11535454,11.5355,0,68616.png,/nas-ctm01/datasets/public/ffhq256/68616.png
184,65233,0.06042863,6.0429,0,65233.png,/nas-ctm01/datasets/public/ffhq256/65233.png
185,9579,0.98842585,98.8426,1,09579.png,/nas-ctm01/datasets/public/ffhq256/09579.png
186,34321,0.00555983,0.5560,0,34321.png,/nas-ctm01/datasets/public/ffhq256/34321.png
187,11404,0.99537814,99.5378,1,11404.png,/nas-ctm01/datasets/public/ffhq256/11404.png
188,2757,0.96101612,96.1016,1,02757.png,/nas-ctm01/datasets/public/ffhq256/02757.png
189,12590,0.45562741,45.5627,0,12590.png,/nas-ctm01/datasets/public/ffhq256/12590.png
190,19988,0.04187032,4.1870,0,19988.png,/nas-ctm01/datasets/public/ffhq256/19988.png
191,15041,0.35753557,35.7536,0,15041.png,/nas-ctm01/datasets/public/ffhq256/15041.png
192,17119,0.79303360,79.3034,1,17119.png,/nas-ctm01/datasets/public/ffhq256/17119.png
193,27318,0.00383152,0.3832,0,27318.png,/nas-ctm01/datasets/public/ffhq256/27318.png
194,48762,0.00313232,0.3132,0,48762.png,/nas-ctm01/datasets/public/ffhq256/48762.png
195,52698,0.01990792,1.9908,0,52698.png,/nas-ctm01/datasets/public/ffhq256/52698.png
196,44429,0.16750339,16.7503,0,44429.png,/nas-ctm01/datasets/public/ffhq256/44429.png
197,46212,0.94647801,94.6478,1,46212.png,/nas-ctm01/datasets/public/ffhq256/46212.png
198,56371,0.60397148,60.3971,1,56371.png,/nas-ctm01/datasets/public/ffhq256/56371.png
199,2126,0.00404000,0.4040,0,02126.png,/nas-ctm01/datasets/public/ffhq256/02126.png
200,47602,0.99793196,99.7932,1,47602.png,/nas-ctm01/datasets/public/ffhq256/47602.png
201,9772,0.99180752,99.1808,1,09772.png,/nas-ctm01/datasets/public/ffhq256/09772.png
202,58016,0.99752373,99.7524,1,58016.png,/nas-ctm01/datasets/public/ffhq256/58016.png
203,15486,0.07913308,7.9133,0,15486.png,/nas-ctm01/datasets/public/ffhq256/15486.png
204,55990,0.36760011,36.7600,0,55990.png,/nas-ctm01/datasets/public/ffhq256/55990.png
205,37086,0.53118706,53.1187,1,37086.png,/nas-ctm01/datasets/public/ffhq256/37086.png
206,55864,0.02701855,2.7019,0,55864.png,/nas-ctm01/datasets/public/ffhq256/55864.png
207,54270,0.99147910,99.1479,1,54270.png,/nas-ctm01/datasets/public/ffhq256/54270.png
208,12233,0.83676785,83.6768,1,12233.png,/nas-ctm01/datasets/public/ffhq256/12233.png
209,42199,0.93268543,93.2685,1,42199.png,/nas-ctm01/datasets/public/ffhq256/42199.png
210,62482,0.03624685,3.6247,0,62482.png,/nas-ctm01/datasets/public/ffhq256/62482.png
211,68855,0.69040930,69.0409,1,68855.png,/nas-ctm01/datasets/public/ffhq256/68855.png
212,19132,0.41622043,41.6220,0,19132.png,/nas-ctm01/datasets/public/ffhq256/19132.png
213,25170,0.02454286,2.4543,0,25170.png,/nas-ctm01/datasets/public/ffhq256/25170.png
214,212,0.98397392,98.3974,1,00212.png,/nas-ctm01/datasets/public/ffhq256/00212.png
215,67470,0.22411580,22.4116,0,67470.png,/nas-ctm01/datasets/public/ffhq256/67470.png
216,21821,0.08381706,8.3817,0,21821.png,/nas-ctm01/datasets/public/ffhq256/21821.png
217,37106,0.00352297,0.3523,0,37106.png,/nas-ctm01/datasets/public/ffhq256/37106.png
218,21915,0.99213284,99.2133,1,21915.png,/nas-ctm01/datasets/public/ffhq256/21915.png
219,36849,0.97097206,97.0972,1,36849.png,/nas-ctm01/datasets/public/ffhq256/36849.png
220,20050,0.02117785,2.1178,0,20050.png,/nas-ctm01/datasets/public/ffhq256/20050.png
221,65544,0.05458080,5.4581,0,65544.png,/nas-ctm01/datasets/public/ffhq256/65544.png
222,48679,0.26245716,26.2457,0,48679.png,/nas-ctm01/datasets/public/ffhq256/48679.png
223,30765,0.03816950,3.8170,0,30765.png,/nas-ctm01/datasets/public/ffhq256/30765.png
224,2059,0.99810034,99.8100,1,02059.png,/nas-ctm01/datasets/public/ffhq256/02059.png
225,62142,0.00711136,0.7111,0,62142.png,/nas-ctm01/datasets/public/ffhq256/62142.png
226,32494,0.04252118,4.2521,0,32494.png,/nas-ctm01/datasets/public/ffhq256/32494.png
227,48273,0.60977864,60.9779,1,48273.png,/nas-ctm01/datasets/public/ffhq256/48273.png
228,11097,0.02780025,2.7800,0,11097.png,/nas-ctm01/datasets/public/ffhq256/11097.png
229,64040,0.99499267,99.4993,1,64040.png,/nas-ctm01/datasets/public/ffhq256/64040.png
230,5326,0.89902520,89.9025,1,05326.png,/nas-ctm01/datasets/public/ffhq256/05326.png
231,47186,0.70431662,70.4317,1,47186.png,/nas-ctm01/datasets/public/ffhq256/47186.png
232,27239,0.69950593,69.9506,1,27239.png,/nas-ctm01/datasets/public/ffhq256/27239.png
233,23642,0.06150981,6.1510,0,23642.png,/nas-ctm01/datasets/public/ffhq256/23642.png
234,27511,0.00799548,0.7995,0,27511.png,/nas-ctm01/datasets/public/ffhq256/27511.png
235,1219,0.95978880,95.9789,1,01219.png,/nas-ctm01/datasets/public/ffhq256/01219.png
236,57877,0.10067381,10.0674,0,57877.png,/nas-ctm01/datasets/public/ffhq256/57877.png
237,47417,0.99874449,99.8744,1,47417.png,/nas-ctm01/datasets/public/ffhq256/47417.png
238,47144,0.99736470,99.7365,1,47144.png,/nas-ctm01/datasets/public/ffhq256/47144.png
239,4026,0.00049671,0.0497,0,04026.png,/nas-ctm01/datasets/public/ffhq256/04026.png
240,37601,0.20242624,20.2426,0,37601.png,/nas-ctm01/datasets/public/ffhq256/37601.png
241,2180,0.92898375,92.8984,1,02180.png,/nas-ctm01/datasets/public/ffhq256/02180.png
242,63112,0.77932656,77.9327,1,63112.png,/nas-ctm01/datasets/public/ffhq256/63112.png
243,29019,0.95340943,95.3409,1,29019.png,/nas-ctm01/datasets/public/ffhq256/29019.png
244,24381,0.87099433,87.0994,1,24381.png,/nas-ctm01/datasets/public/ffhq256/24381.png
245,17168,0.92230022,92.2300,1,17168.png,/nas-ctm01/datasets/public/ffhq256/17168.png
246,4605,0.01007190,1.0072,0,04605.png,/nas-ctm01/datasets/public/ffhq256/04605.png
247,45996,0.61139375,61.1394,1,45996.png,/nas-ctm01/datasets/public/ffhq256/45996.png
248,5360,0.17274348,17.2743,0,05360.png,/nas-ctm01/datasets/public/ffhq256/05360.png
249,69444,0.99900419,99.9004,1,69444.png,/nas-ctm01/datasets/public/ffhq256/69444.png
250,17510,0.51396018,51.3960,1,17510.png,/nas-ctm01/datasets/public/ffhq256/17510.png
251,63597,0.39023069,39.0231,0,63597.png,/nas-ctm01/datasets/public/ffhq256/63597.png
252,21519,0.76125503,76.1255,1,21519.png,/nas-ctm01/datasets/public/ffhq256/21519.png
253,40845,0.10726152,10.7262,0,40845.png,/nas-ctm01/datasets/public/ffhq256/40845.png
254,44741,0.06524947,6.5249,0,44741.png,/nas-ctm01/datasets/public/ffhq256/44741.png
255,27466,0.01636944,1.6369,0,27466.png,/nas-ctm01/datasets/public/ffhq256/27466.png
256,12603,0.94633961,94.6340,1,12603.png,/nas-ctm01/datasets/public/ffhq256/12603.png
257,34438,0.99669254,99.6693,1,34438.png,/nas-ctm01/datasets/public/ffhq256/34438.png
258,50499,0.99075609,99.0756,1,50499.png,/nas-ctm01/datasets/public/ffhq256/50499.png
259,49550,0.98739457,98.7395,1,49550.png,/nas-ctm01/datasets/public/ffhq256/49550.png
260,37428,0.00923070,0.9231,0,37428.png,/nas-ctm01/datasets/public/ffhq256/37428.png
261,24097,0.10369570,10.3696,0,24097.png,/nas-ctm01/datasets/public/ffhq256/24097.png
262,33897,0.92047882,92.0479,1,33897.png,/nas-ctm01/datasets/public/ffhq256/33897.png
263,62492,0.84255522,84.2555,1,62492.png,/nas-ctm01/datasets/public/ffhq256/62492.png
264,52522,0.99813688,99.8137,1,52522.png,/nas-ctm01/datasets/public/ffhq256/52522.png
265,38858,0.23760229,23.7602,0,38858.png,/nas-ctm01/datasets/public/ffhq256/38858.png
266,7725,0.00266965,0.2670,0,07725.png,/nas-ctm01/datasets/public/ffhq256/07725.png
267,41557,0.99782819,99.7828,1,41557.png,/nas-ctm01/datasets/public/ffhq256/41557.png
268,27561,0.92728740,92.7287,1,27561.png,/nas-ctm01/datasets/public/ffhq256/27561.png
269,31295,0.94832695,94.8327,1,31295.png,/nas-ctm01/datasets/public/ffhq256/31295.png
270,2476,0.05012863,5.0129,0,02476.png,/nas-ctm01/datasets/public/ffhq256/02476.png
271,64236,0.03212789,3.2128,0,64236.png,/nas-ctm01/datasets/public/ffhq256/64236.png
272,9869,0.72244537,72.2445,1,09869.png,/nas-ctm01/datasets/public/ffhq256/09869.png
273,12136,0.47682345,47.6823,0,12136.png,/nas-ctm01/datasets/public/ffhq256/12136.png
274,58514,0.95022768,95.0228,1,58514.png,/nas-ctm01/datasets/public/ffhq256/58514.png
275,65829,0.99994135,99.9941,1,65829.png,/nas-ctm01/datasets/public/ffhq256/65829.png
276,16171,0.98671210,98.6712,1,16171.png,/nas-ctm01/datasets/public/ffhq256/16171.png
277,38503,0.94909281,94.9093,1,38503.png,/nas-ctm01/datasets/public/ffhq256/38503.png
278,39630,0.00434354,0.4344,0,39630.png,/nas-ctm01/datasets/public/ffhq256/39630.png
279,46038,0.45776942,45.7769,0,46038.png,/nas-ctm01/datasets/public/ffhq256/46038.png
280,14552,0.99177599,99.1776,1,14552.png,/nas-ctm01/datasets/public/ffhq256/14552.png
281,21406,0.06953968,6.9540,0,21406.png,/nas-ctm01/datasets/public/ffhq256/21406.png
282,27758,0.03307518,3.3075,0,27758.png,/nas-ctm01/datasets/public/ffhq256/27758.png
