bonafide_stem,times_used_in_morphs
img140798,5
img141108,2
img141283,2
img141518,4
img141684,3
img141718,4
img142044,5
img142047,5
img142138,5
img142147,5
img142282,4
img142579,3
img143009,3
img143922,2
img144009,5
img144248,5
img144366,4
img144662,5
img144754,1
img144810,3
img144843,3
img145002,5
img145300,4
img145791,4
img146340,4
img146347,4
img146378,5
img146389,4
img146564,2
img146617,5
img146659,1
img146666,5
img146791,3
img146846,4
img146864,4
img146933,5
img147004,4
img147196,5
img147870,5
img147871,5
img147978,1
img148071,5
img148106,5
img148209,4
img148216,5
img148612,4
img148688,5
img149139,5
img149316,5
img149735,3
img149737,4
img149984,5
img150133,3
img150193,5
img150246,3
img150442,3
img150535,5
img150907,5
img151291,4
img151409,3
img151491,4
img151730,1
img151774,5
img151958,4
img152035,3
img152056,3
img152253,5
img152458,1
img152510,3
img152724,5
img152758,4
img152798,5
img152839,5
img153353,5
img153783,3
img153789,5
img154025,5
img154053,5
img154118,3
img154499,3
img154541,4
img154775,2
img155110,5
img155305,5
img155329,5
img155433,4
img155668,2
img155791,3
img155907,4
img155938,5
img156316,5
img156355,4
img156378,3
img156386,4
img156431,2
img156593,4
img156719,5
img156783,3
img156915,5
img157440,5
img157485,4
img157637,4
img157638,4
img157902,4
img158368,2
img158446,2
img158528,1
img158873,5
img159033,4
img159196,4
img159819,1
img160040,3
img160207,1
img160228,5
img160293,3
img160429,5
img160496,5
img160583,4
img160774,2
img160854,4
img160872,5
img160925,1
img160980,4
img161107,5
img161117,5
img161127,5
img161193,2
img161200,5
img161238,3
img161242,3
img161479,4
img161753,4
img161993,5
img162143,5
img162222,5
img162345,4
img162824,3
img162853,4
img162897,5
img162995,5
img163184,3
img163284,1
img163663,3
img163771,2
img164043,4
img164069,5
img164075,5
img164274,4
img164406,4
img164418,4
img164440,5
img164523,3
img164553,5
img164659,2
img164705,4
img164740,5
img164925,4
img165013,4
img165130,5
img165189,3
img165218,4
img165316,4
img165549,5
img165652,5
img165716,5
img166101,5
img166185,3
img166401,3
img166443,2
img166704,1
img166784,2
img166904,5
img167087,3
img167090,5
img167112,5
img167192,5
img167350,5
img167496,5
img167570,4
img167592,3
img167612,5
img167778,3
img167930,5
img167991,5
img168114,5
img168378,2
img168443,4
img168572,5
img168620,4
img168802,3
img168916,5
img168951,5
img168952,5
img168954,5
img169218,4
img169372,5
img169774,3
img169846,1
img169890,5
img170040,3
img170048,3
img170100,5
img170401,4
img170410,5
img170567,4
img170618,4
img170692,3
img170773,3
img170789,4
img170875,4
img170906,5
img171018,5
img171274,5
img171379,5
img171632,4
img171709,4
img171764,5
img171795,4
img171849,5
img171876,3
img171900,5
img171939,2
img171957,3
img172279,4
img172446,5
img172808,2
img173148,4
img173151,1
img173236,2
img173885,4
img174120,3
img174262,5
img174283,5
img174315,2
img174354,4
img174515,2
img174552,4
img174597,5
img174661,5
img174813,1
img174856,5
img175018,4
img175073,3
img175433,5
img175487,2
img175724,5
img175995,3
img176110,1
img176197,1
img176324,1
img176467,4
img176678,5
img176838,5
img176875,5
img177040,3
img177069,5
img177106,5
img177158,4
img177168,5
img177242,5
img177352,4
img177381,4
img177461,3
img177740,4
img178132,4
img178490,5
img178519,5
img178598,2
img178607,3
img178689,3
img178768,3
img178792,4
img178829,3
img178876,5
img178998,5
img179016,5
img179089,5
img179193,2
img179446,5
img179545,5
img179614,5
img179662,4
img179676,5
img179955,5
img180009,2
img180319,5
img180522,4
img180624,4
img180663,5
img180733,2
img180934,2
img181012,2
img181388,5
img181402,3
img181508,4
img181538,3
img182268,5
img182425,4
img182448,5
img182564,3
img182603,4
img182887,5
img183055,5
img183286,5
img183799,5
img183902,5
img183957,5
img183981,3
img184022,4
img184063,5
img184388,5
img184406,5
img184786,5
img184947,5
img185015,5
img185048,3
img185138,5
img185197,5
img185241,4
img185369,5
img185588,5
img185638,4
img185748,5
img185751,4
img186095,4
img186272,4
img186458,5
img186658,4
img186803,4
img186810,2
img187056,5
img187090,4
img187432,5
img188189,2
img188321,2
img188503,3
img188619,5
img188674,3
img188711,5
img188712,5
img189119,5
img189293,5
img189304,5
img189495,4
img189608,4
img189700,5
img190128,5
img190209,4
img190330,3
img190636,5
img190828,2
img191350,4
img191362,4
img191482,3
img191483,2
img191593,3
img191872,3
img192227,3
img192275,4
img192362,4
img192369,5
img192533,5
img192631,3
img192721,5
img192739,5
img192798,1
img192826,4
img192853,5
img192935,4
img193066,1
img193102,5
img193156,5
img193548,3
img194263,5
img194347,5
img194457,4
img194539,1
img194558,4
img194560,5
img194577,4
img194928,3
img194965,2
img195162,5
img195269,2
img195577,5
img195956,5
img195978,4
img195982,4
img195997,4
img196023,5
img196053,1
img196090,5
img196104,4
img196314,5
img196317,4
img196586,4
img196587,4
img196621,5
img196892,3
img197042,2
img197096,4
img197453,4
img197603,4
img197667,2
img197744,5
img197770,2
img197787,4
img197883,5
img198110,5
img198208,3
img198713,2
img199024,4
img199164,5
img199330,3
img199443,1
img199565,4
img199569,5
img199857,5
img199858,4
img199917,5
img199941,3
img200036,4
img200383,4
img200558,4
img200592,4
img200701,5
img200703,4
img200852,5
img201133,5
img201597,1
img201603,3
img201697,5
img201741,5
img201882,4
img202086,5
img202096,5
img202269,5
img202395,3
img202607,3
img202849,4
img202930,5
img203207,4
img203251,5
img203432,2
img203668,2
img203987,5
img204112,4
img204472,4
img204637,4
img204934,3
img205397,5
img205419,5
img205719,5
img205723,4
img205762,3
img206084,5
img206203,5
img206220,2
img206380,3
img206534,5
img206555,4
img206563,4
img206626,4
img206654,3
img206785,3
img206817,3
img206864,5
img207318,5
img207346,3
img207565,4
img207609,5
img207743,5
img207781,3
img207851,1
img208149,4
img208200,5
img208238,3
img208349,5
img208397,4
img208526,5
img208673,4
img208816,4
img208909,5
img209409,5
img209592,5
img209756,5
img209827,5
img209892,1
img209937,2
img210080,3
img210298,5
img210327,1
img210356,3
img210802,3
img211069,3
img211179,5
img211332,4
img211684,5
img211787,4
img211996,1
img212489,5
img212638,3
img213126,5
img213240,3
img213244,5
img213245,5
img213320,5
img213543,5
img213951,3
img214101,5
img214218,4
img214322,5
img214408,3
img214413,3
img214418,3
img214540,3
img214600,5
img214635,4
img214839,3
img215124,5
img215283,5
img215317,4
img215440,4
img215928,4
img216126,2
img216424,4
img216438,4
img216615,4
img216651,5
img216753,5
img216907,1
img216958,5
img217428,4
img217537,5
img217573,4
img217623,4
img217658,5
img217735,5
img217816,3
img217835,2
img217951,5
img217968,5
img217983,5
img218128,5
img218198,2
img218555,5
img218600,5
img218608,5
img218799,4
img218974,5
img219023,4
img219157,4
img219218,2
img219351,2
img219499,1
img219562,3
img219659,5
img219741,3
img220094,4
img220179,4
img220452,4
img220490,5
img221353,3
img221690,4
img222032,4
img222264,4
img222393,4
img222524,5
img222774,5
img222872,3
img222974,5
img223220,5
img223252,5
img223332,5
img223557,4
img223634,5
img223690,4
img223783,2
img223869,3
img223957,2
img224026,3
img224032,4
img224297,3
img224319,5
img224685,2
img225170,4
img225567,5
img225663,4
img225837,5
img225857,5
img225877,3
img225885,3
img225888,4
img225936,3
img226029,1
img226223,4
img226251,5
img226301,5
img226626,5
img226728,5
img226757,5
img226783,5
img226814,4
img227222,4
img227254,5
img227310,5
img227351,5
img227421,3
img227787,5
img228060,2
img228101,3
img228147,5
img228196,3
img228216,5
img228383,4
img228491,3
img228551,4
img228563,4
img228639,3
img228816,1
img228967,3
img228983,4
img229346,4
img229792,1
img229813,5
img229979,5
img230034,5
img230103,5
img230143,4
img230339,5
img230602,5
img230636,3
img230689,4
img230812,3
img230821,3
img230932,1
img230992,1
img231304,3
img231359,4
img231429,2
img231517,5
img231548,5
img231555,5
img231665,5
img231789,2
img231872,3
img231876,2
img232001,3
img232153,5
img232362,4
img232383,5
img232597,5
img232650,5
img232756,5
img232790,5
img232992,3
img233112,4
img233363,4
img233425,1
img233759,1
img233828,5
img233832,4
img233913,5
img233925,5
img234099,4
img234123,5
img234224,4
img234547,4
img234688,4
img234704,5
img234761,5
img234777,3
img234939,4
img235034,5
img235237,3
img235402,3
img235417,4
img235600,4
img235763,5
img235789,2
img236037,2
img236242,3
img236584,5
img236703,4
img237257,3
img237274,2
img237311,4
img237404,2
img237451,3
img237582,3
img237721,4
img237797,2
img238000,2
img238169,5
img238182,4
img238341,4
img238716,5
img238844,4
img239058,2
img239065,4
img239137,4
img239518,1
img239891,5
img239971,5
img240318,4
img240389,3
img240790,5
img240868,3
img241134,2
img242000,5
img242295,5
img242379,4
img242501,5
img242514,4
img242671,5
img242966,3
img243121,3
img243134,2
img243484,5
img243522,5
img243608,5
img243619,5
img243659,5
img243855,5
img243907,3
img244073,5
img244264,4
img244269,2
img244274,3
img244286,4
img244433,1
img244505,4
img244682,5
img244697,5
img244864,3
img244980,2
img244993,4
img245042,5
img245148,5
img245150,3
img245170,5
img245241,4
img245249,4
img245528,4
img245647,4
img245921,4
img245983,4
img246172,5
img246179,5
img246317,5
img246460,5
img246685,5
img246735,4
img247091,3
img247135,4
img247422,5
img247557,4
img247577,4
img247600,5
img247832,2
img248053,5
img248110,5
img248966,5
img249031,4
img249113,3
img249175,5
img249306,5
img249446,4
img249751,5
img250032,5
img250087,5
img250138,5
img250320,5
img250387,4
img250512,5
img250560,5
img250707,5
img250795,4
img250810,4
img251193,4
img251299,5
img251351,4
img251371,3
img251642,5
img251711,5
img251728,5
img251753,5
img251934,5
img252007,2
img252031,5
img252560,2
img252561,5
img252624,3
img252642,2
img252735,4
img253160,4
img253976,3
img253997,5
img254009,5
img254151,3
img254249,4
img254297,4
img254354,5
img254358,4
img254774,3
img254940,5
img255072,4
img255191,5
img255411,4
img255644,5
img255750,5
img255823,5
img256000,5
img256134,1
img256166,4
img256394,3
img256400,4
img256430,5
img256479,5
img256541,5
img256626,5
img256741,1
img257161,5
img257190,5
img257308,4
img257314,5
img257498,4
img257600,5
img257620,4
img257762,3
img257859,5
img257998,5
img258104,4
img258373,2
img258376,3
img258380,4
img258519,4
img258555,4
img258884,5
img259146,5
img259208,4
img259543,1
img259557,4
img259564,5
img260009,5
img260648,1
img260693,3
img260700,4
img260802,4
img260847,5
img261020,5
img261613,4
img261771,2
img261873,4
img261908,4
img261912,3
img261981,3
img262298,4
img262459,5
img262479,5
img262497,4
img262541,5
img262614,2
img262723,4
img262829,4
img262914,3
img263106,4
img263397,4
img263410,3
img263528,4
img263765,2
img263905,3
img264041,2
img264074,4
img264239,5
img264323,5
img264448,5
img264894,2
img264944,5
img265006,5
img265079,4
img265355,4
img265491,5
img265618,4
img265670,5
img265761,3
img265836,5
img265936,1
img265965,5
img266031,3
img266159,3
img266317,4
img266522,5
img266587,3
img266616,3
img266659,4
img266826,4
img267142,5
img267175,3
img267359,4
img267361,5
img267545,5
img267632,5
img267974,4
img268007,1
img268032,5
img268213,2
img268216,1
img268621,4
img269004,3
img269073,3
img269138,1
img269698,4
img269752,5
img269930,3
img270124,5
img270151,5
img270261,5
img270414,4
img270465,2
img270577,5
img270634,2
img270715,5
img270837,4
img271236,5
img271540,3
img271618,3
img271664,5
img271759,5
img272080,5
img272277,3
img272807,4
img273416,3
img273753,2
img273787,2
img273871,5
img274048,5
img274085,4
img274139,3
img274145,1
img274178,4
img274197,5
img274581,3
img274632,5
img274644,4
img274865,5
img275321,5
img275535,4
img275655,3
img275760,5
img275930,5
img276362,5
img276595,4
img276714,1
img276953,4
img277074,5
img277115,4
img277480,5
img277482,3
img277540,3
img277643,2
img277726,5
img278008,5
img278714,3
img278885,2
img279062,4
img279285,5
img279444,5
img279492,4
img279703,5
img279767,5
img280147,3
img280153,4
img280292,4
img280417,3
img280547,5
img280597,2
img280674,5
img280790,5
img280882,1
img280907,4
img280938,5
img280966,3
img281083,2
img281085,5
img281333,2
img281588,5
img281634,4
img281851,5
img282038,3310
img282066,5
img282081,1
img282161,4
img282187,4
img282246,4
img282545,5
img282565,4
img282606,3
img282726,3
img282741,3
img282990,5
img283220,3
img283255,5
img283276,5
img283277,3
img283359,4
img283420,4
img283487,5
img283518,5
img283546,5
img283906,4
img283972,1
img284171,5
img284403,4
img284675,5
img284856,5
img285014,2
img285024,4
img285143,3
img285934,3
img286087,3
img286374,4
img286409,3
img286723,5
img286905,5
img287045,1
img287311,5
img287325,3
img287813,2
img288210,2
img288385,4
img288472,2
img288717,5
img288812,5
img288880,4
img288883,5
img289023,4
img289289,5
img289523,5
img289562,5
img289699,4
img290267,3
img290330,2
img290443,4
img290560,2
img290576,4
img290682,5
img290859,3
img291081,5
img291127,3
img291219,2
img291249,1
img291646,4
img291760,4
img291886,4
img291895,1
img292136,5
img292276,4
img292518,3
img292696,4
img292744,4
img292814,5
img292839,5
img293051,3
img293189,4
img293258,4
img293357,5
img293455,4
img293653,5
img293927,2
img293932,5
img293935,5
img294055,5
img294341,5
img294636,5
img294762,4
img295162,5
img295170,4
img295248,4
img295441,5
img295643,4
img295677,3
img295832,4
img296129,3
img296216,1
img296453,3
img296652,3
img297048,3
img297136,5
img297155,4
img297206,3
img297540,5
img297543,1
img297669,3
img297737,5
img297755,5
img297781,5
img297808,4
img297860,4
img297881,3
img298267,5
img298311,1
img298469,1
img298512,4
img298521,4
img298553,5
img298622,2
img298723,5
img298791,5
img298913,5
img298979,5
img299158,5
img299190,4
img299223,4
img299227,4
img299242,5
img300155,5
img300500,5
img300654,4
img300709,5
img300845,3
img301245,3
img301250,4
img301352,3
img301491,5
img301759,1
img301781,2
img301828,4
img301957,5
img302358,5
img302583,4
img302794,5
img303188,4
img303550,4
img303556,5
img303617,5
img303696,4
img304050,4
img304427,5
img304704,5
img304890,3
img305070,5
img305228,4
img305396,5
img305397,5
img305442,4
img305483,5
img305495,5
img305513,2
img305813,5
img305835,4
img305904,3
img306170,4
img306239,5
img306285,5
img306289,4
img306333,5
img306427,3
img306475,5
img306499,5
img306664,4
img306843,3
img307229,4
img307234,5
img307457,5
img307525,5
img307575,3
img307970,3
img308041,4
img308104,3
img308425,5
img308660,4
img309046,4
img309472,5
img309565,4
img309665,5
img309738,2
img309739,5
img309826,4
img309951,4
img310041,3
img310075,4
img310188,4
img310215,5
img310218,3
img310244,5
img310320,5
img310517,4
img311099,4
img311224,3
img311280,4
img311494,5
img311509,4
img311599,5
img311709,5
img311737,4
img311848,5
img312016,2
img312123,4
img312202,5
img312561,5
img312626,4
img312775,5
img312902,4
img312933,5
img312979,2
img313253,4
img313359,4
img313570,4
img313650,4
img313657,2
img314389,4
img314466,5
img314493,4
img314557,4
img314672,4
img314804,5
img314833,5
img314857,5
img314870,3
img314935,5
img315039,4
img315133,5
img315400,4
img315457,3
img315616,4
img315719,5
img315892,4
img316315,5
img316682,4
img316707,4
img316809,4
img316954,4
img317167,5
img317220,5
img317564,3
img317581,5
img317791,5
img317983,2
img318019,5
img318184,4
img318434,5
img318732,4
img318946,5
img319120,5
img319308,5
img319418,2
img319608,4
img319659,4
img319680,5
img319850,3
img319899,4
img320097,5
img320324,1
img320386,5
img320524,5
img320557,2
img320641,3
img320800,3
img321173,3
img321330,4
img321406,3
img322077,3
img322116,5
img322288,5
img322308,4
img322661,2
img322914,4
img322992,5
img322997,5
img323187,4
img323258,4
img323295,5
img323298,4
img323479,5
img323839,2
img324369,4
img324432,4
img324539,5
img324575,5
img324737,4
img325094,4
img325181,5
img325233,3
img325259,5
img325297,4
img325337,4
img325403,2
img325598,3
img325746,4
img325996,5
img326151,1
img326271,3
img326282,3
img326364,5
img326490,5
img326587,3
img326897,4
img327020,5
img327107,3
img327202,5
img327788,5
img327828,5
img327893,5
img328036,5
img328072,4
img328174,4
img328490,3
img328497,4
img328762,5
img328824,4
img328914,5
img329034,4
img329800,4
img330153,3
img330160,2
img330192,3
img330246,5
img330559,3
img330650,5
img330742,5
img330747,3
img330872,4
img330978,3
img331332,5
img331398,4
img331798,5
img331811,4
img331847,5
img331972,4
img332339,5
img332480,4
img333240,4
img333373,4
img333376,5
img333417,5
img333533,5
img333788,4
img334031,2
img334181,4
img334226,5
img334261,3
img334268,4
img334324,5
img334563,5
img334910,5
img335025,5
